YEAR,STATE,RATE,DEATHS
2005,KY,27.8,"1,187"
2005,LA,38.7,"1,695"
2005,ME,24.7,385
2005,MD,26,"1,388"
2005,MA,17.7,"1,271"
2005,MI,27.3,"2,842"
2005,MN,23.6,"1,258"
2005,MS,23.5,677
2005,MO,24.8,"1,549"
2005,MT,26.7,285
2005,NE,23.3,449
2005,NV,15.3,336
2005,NH,23.4,310
2005,NJ,27.3,"2,540"
2005,NM,31.4,595
2005,NY,19.7,"4,051"
2005,NC,26.2,"2,261"
2005,ND,26.2,204
2005,OH,30.5,"3,794"
2005,OK,32.6,"1,217"
2005,OR,29.2,"1,149"
2005,PA,23.1,"3,553"
2005,RI,22.3,282
2005,SC,27.5,"1,187"
2005,SD,26.2,241
2005,TN,30.3,"1,844"
2005,TX,29.7,"5,605"
2005,UT,31,541
2005,VT,25.8,173
2005,VA,22.9,"1,642"
2005,WA,25.5,"1,554"
2005,WV,34.5,766
2005,WI,21,"1,276"
2005,WY,25.8,130
