UTC,Proto,Src_IP,Src_Pt,Dst_IP,Dest_Pt,Bytes,class
1585863593,TCP  ,10.100.1.123,49941,192.168.200.1,8000,614,0
1585864493,TCP  ,192.168.200.1,8000,10.100.1.123,62987,561,0
1585865393,TCP  ,192.168.200.1,8000,10.100.1.123,49941,639,0
1585866293,TCP  ,10.100.1.123,63005,10.200.1.15,8000,586,0
1585867193,TCP  ,10.100.1.123,62988,10.200.1.15,8000,579,0
1585868093,TCP  ,192.168.200.1,8000,10.100.1.123,63005,702,0
1585868993,TCP  ,192.168.200.1,8000,10.100.1.123,62988,1726,0
1585869893,TCP  ,10.100.1.123,63007,10.200.1.15,8000,614,0
1585870793,TCP  ,10.100.1.123,63006,10.200.1.15,8000,515,0
1585871693,TCP  ,192.168.200.1,8000,10.100.1.123,63007,639,0
1585872593,TCP  ,192.168.200.1,8000,10.100.1.123,63006,556,0
1585873493,TCP  ,10.100.1.123,49988,10.200.1.15,8000,515,0
1585874393,TCP  ,192.168.200.1,8000,10.100.1.123,49988,556,0
